CaseID,MH1
55133,2009/5/1
55133,NA
61110,2004/6/1
61110,NA
61110,NA
61110,NA
61110,2013/6/1
32418,NA
48879,2012/9/1
48879,NA
48879,NA
48879,2014/1/1
48879,NA
61681,NA
60820,2008/5/1
39962,2005/1/1
39962,2012/8/1
39962,2004/10/1
61290,2010/12/1
31707,NA
31707,NA
56103,2007/9/1
33673,2009/12/1
33673,2003/12/1
33673,2014/12/1
33673,2014/10/1
33673,2002/7/1
33673,NA
61674,2003/3/1
58761,NA
61674,NA
31772,NA
61900,NA
60741,2002/7/1
61686,2012/2/1
58379,2002/7/1
55993,2006/1/1
55993,2011/4/1
55993,2011/4/1
55993,NA
55993,2007/4/1
61242,2007/1/1
61994,2002/7/1
62258,2012/11/1
47536,2013/2/1
32542,2011/7/1
50815,2011/4/1
62163,2002/12/1
35485,2010/6/1
35485,2013/7/1
61414,NA
61151,2002/7/1
33413,2002/7/1
33413,NA
33413,2015/6/1
60978,NA
61191,2004/2/1
61191,2012/12/1
33453,2005/7/1
61882,2010/5/1
33453,2012/4/1
33453,NA
61429,2016/3/1
62294,NA
62294,NA
33139,2002/7/1
60173,NA
34779,2010/12/1
34779,2010/3/1
34779,2012/4/1
34779,2012/4/1
34779,2002/8/1
34779,2004/11/1
35495,NA
33453,NA
61490,2002/7/1
33472,NA
33472,NA
33472,NA
33139,NA
33139,NA
30737,2007/12/1
30737,2013/4/1
60843,2012/4/1
60843,2010/2/1
61686,NA
35475,2002/7/1
35475,2006/9/1
35475,2011/11/1
35475,2014/7/1
35475,NA
54394,NA
62331,2010/1/1
30743,2006/10/1
61890,NA
60033,NA
54158,2007/6/1
54158,NA
54158,NA
33841,2010/4/1
33841,2016/2/1
33841,2016/2/1
62394,2012/9/1
59054,2005/5/1
34341,NA
34341,NA
29734,NA
33724,2009/7/1
33724,2011/5/1
51650,NA
61638,2013/7/1
60639,2010/2/1
58280,2005/3/1
33624,2009/4/1
33624,2007/9/1
33624,2016/9/1
50985,NA
48488,2015/6/1
48488,2006/1/1
48488,2011/4/1
48488,2011/4/1
48488,2014/2/1
61611,NA
48756,2014/5/1
48756,2012/11/1
48756,2011/4/1
61456,2009/12/1
56197,2010/7/1
61750,2010/4/1
61750,2007/4/1
60750,NA
41785,2005/12/1
41785,NA
41785,2009/1/1
62054,2007/1/1
62054,2002/7/1
62054,2003/2/1
62054,2015/3/1
62054,2010/1/1
62054,2013/5/1
31368,2016/6/1
57525,2004/4/1
33771,2008/4/1
33771,NA
61684,2015/4/1
61684,NA
53929,2011/8/1
53929,2003/9/1
61556,NA
61556,2002/7/1
61813,2003/5/1
59233,NA
62166,2009/10/1
33809,2009/10/1
33809,NA
33809,NA
33809,NA
33809,NA
49870,NA
49870,NA
49870,NA
61349,2011/9/1
33809,2013/9/1
58347,2007/9/1
58347,NA
61420,2002/10/1
56397,2013/9/1
48361,2008/5/1
51053,2010/1/1
52276,NA
33301,NA
55839,2015/9/1
33692,NA
