ARRESTTIME,COUNCIL_DISTRICT
2016-12-04T00:55:00,6
2016-08-17T16:30:00,9
2016-11-01T17:50:00,5
2017-01-01T02:08:00,3
2017-01-14T06:51:00,9
2016-12-06T21:55:00,3
2016-02-12T21:00:00,2
2016-08-20T02:55:00,1
2016-09-15T17:29:00,9
2016-09-05T18:20:00,3
2016-11-23T10:30:00,5
2017-01-02T18:20:00,6
2016-09-27T00:35:00,9
2017-01-01T17:19:00,3
2016-09-27T02:35:00,6
2016-11-04T15:00:00,9
2016-11-28T12:03:00,3
2016-12-06T21:55:00,3
2016-12-04T05:25:00,3
2016-09-13T17:45:00,1
2016-11-16T13:48:00,4
2016-10-02T10:22:00,3
2016-10-05T12:25:00,6
2016-10-12T08:38:00,
2016-11-17T20:24:00,3
2016-11-29T19:05:00,9
2016-11-14T13:16:00,3
2016-10-12T10:00:00,
2016-09-06T08:00:00,4
2016-11-07T19:36:00,9
2016-11-16T16:24:00,6
2016-09-30T13:30:00,6
2017-01-10T23:25:00,3
2016-11-14T16:00:00,5
2017-01-17T16:02:00,
2017-01-17T16:20:00,2
2016-10-22T01:40:00,3
2016-12-13T21:17:00,6
2016-11-12T04:52:00,1
2016-10-03T01:14:00,8
2016-10-30T10:30:00,4
2016-11-18T01:05:00,9
2016-11-18T01:47:00,
2016-11-11T19:16:00,9
2016-10-09T00:45:00,3
2016-10-06T13:05:00,6
2016-10-01T01:05:00,6
2016-11-13T12:00:00,5
2016-11-22T02:15:00,9
2016-12-16T02:11:00,8
2017-01-17T16:47:00,2
2016-10-01T01:43:00,3
2016-11-06T17:12:00,2
2016-12-27T17:56:00,9
2016-12-19T16:50:00,1
2016-10-12T08:00:00,3
2016-07-02T15:51:00,1
2016-11-21T12:38:00,
2016-10-01T02:53:00,3
2016-10-30T05:20:00,9
2016-10-01T03:17:00,3
2016-12-19T17:06:00,2
2016-10-11T12:15:00,6
2016-12-19T17:15:00,3
2016-10-01T04:50:00,6
2016-10-02T00:01:00,6
2016-10-17T14:42:00,5
2016-11-22T10:34:00,1
2016-11-12T09:30:00,9
2016-11-24T02:03:00,3
2016-10-31T08:40:00,6
2017-01-10T12:30:00,
2016-11-13T08:25:00,6
2016-08-30T13:27:00,7
2016-08-17T08:00:00,7
2016-10-02T00:01:00,6
2016-10-02T09:26:00,9
2016-09-29T19:00:00,9
2016-10-02T04:11:00,5
2016-11-18T20:39:00,7
2017-01-16T14:41:00,3
2016-10-29T16:04:00,9
2017-01-19T15:00:00,2
2016-11-16T21:13:00,7
2016-10-02T11:40:00,9
2016-11-16T21:15:00,9
2016-10-14T14:08:00,3
2016-11-18T10:15:00,6
2016-09-18T03:37:00,1
2016-11-22T02:15:00,9
2017-01-23T11:56:00,1
2016-12-13T10:20:00,9
2017-01-13T15:51:00,1
2016-08-20T04:30:00,5
2016-10-02T19:15:00,6
2016-10-02T17:46:00,1
2016-11-16T22:45:00,3
2016-10-04T00:30:00,3
2016-11-18T11:06:00,9
2016-12-19T17:31:00,6
2016-12-24T03:29:00,9
2016-09-13T22:55:00,6
2016-11-23T09:35:00,9
2016-12-15T22:05:00,
2016-09-11T02:37:00,3
2016-09-27T02:00:00,6
2016-12-01T11:30:00,
2016-10-02T09:26:00,9
2017-01-20T15:12:00,6
2016-09-26T22:25:00,1
2016-09-04T01:30:00,9
2016-09-11T01:49:00,3
2016-10-27T03:40:00,2
2016-11-23T00:42:00,9
2016-11-29T12:00:00,1
2016-11-14T17:30:00,6
2017-01-10T16:20:00,4
2016-10-03T10:48:00,1
2016-08-05T14:15:00,2
2016-09-24T13:00:00,3
2016-12-25T02:45:00,3
2017-01-15T09:17:00,1
2016-10-04T01:21:00,6
2016-09-29T20:25:00,
2016-12-01T09:21:00,1
2016-11-13T09:00:00,3
2016-08-22T16:10:00,6
2016-09-12T17:11:00,5
2016-09-04T10:25:00,1
2016-12-04T00:46:00,4
2016-12-11T07:53:00,6
2016-12-23T12:35:00,7
2016-09-23T00:55:00,3
2016-09-02T02:22:00,1
2016-10-05T01:50:00,9
2016-11-11T02:08:00,3
2016-11-14T21:24:00,2
2016-11-15T16:40:00,6
2016-09-08T21:15:00,7
2016-11-15T12:18:00,9
2017-01-30T19:50:00,4
2016-11-15T00:54:00,9
2016-11-12T04:52:00,2
2016-11-20T00:50:00,7
2016-09-04T23:33:00,2
2016-10-11T16:19:00,6
2016-10-01T10:30:00,4
2016-10-04T09:45:00,1
2016-11-11T01:40:00,1
2016-10-17T02:30:00,6
2016-11-03T17:41:00,6
2016-10-02T22:30:00,3
2016-11-28T07:18:00,3
2016-11-13T19:32:00,6
2016-12-26T01:29:00,9
2016-09-13T19:40:00,9
2016-12-28T09:30:00,9
2016-08-28T16:00:00,9
2016-12-28T09:30:00,9
2016-08-17T22:28:00,1
2016-12-01T21:22:00,4
2016-08-26T06:15:00,
2016-09-11T06:40:00,
2016-12-04T03:54:00,1
2016-12-04T13:35:00,9
2016-12-04T13:35:00,9
2016-11-18T14:27:00,2
2016-12-31T19:20:00,1
2016-10-06T06:33:00,3
2016-10-06T06:10:00,2
2016-11-18T16:33:00,6
2017-01-13T03:10:00,7
2016-10-03T13:22:00,1
2017-01-26T03:45:00,9
2016-12-03T01:24:00,3
2017-01-28T03:10:00,9
2016-10-28T21:24:00,3
2016-09-29T13:00:00,3
2016-11-14T15:35:00,3
2016-10-06T19:25:00,1
2017-01-28T03:45:00,2
2016-11-10T18:50:00,6
2017-01-27T10:30:00,9
2017-01-26T02:30:00,6
2016-09-22T13:20:00,5
2016-10-05T15:55:00,2
2016-10-23T02:40:00,9
2016-10-28T19:16:00,1
2016-09-27T13:00:00,9
2016-12-04T18:40:00,3
2016-10-17T13:45:00,6
2017-01-26T12:30:00,3
2017-01-17T20:01:00,7
2016-11-01T20:45:00,1
2016-10-23T16:58:00,6
2016-10-05T18:30:00,7
2016-10-06T14:10:00,7
2016-11-07T20:00:00,6
2017-01-07T16:38:00,2
2017-01-17T13:31:00,4
2016-11-17T09:00:00,6
2016-11-19T18:47:00,3
2016-11-22T15:50:00,9
2016-10-25T18:20:00,5
2016-11-19T22:30:00,
2017-01-21T02:40:00,6
2017-01-17T22:50:00,5
2017-01-18T13:30:00,6
2016-12-01T02:50:00,9
2016-09-11T02:35:00,3
2016-09-27T17:24:00,6
2016-10-05T21:00:00,8
2016-12-08T01:00:00,
2016-12-23T12:40:00,2
2017-01-13T06:08:00,1
2016-08-02T16:15:00,9
2016-10-06T23:39:00,2
2016-12-21T20:44:00,3
2016-10-05T21:00:00,8
2016-11-18T14:27:00,2
2017-01-18T18:18:00,1
2017-01-02T18:01:00,9
2016-08-10T14:06:00,9
2016-09-11T05:49:00,9
2016-09-26T04:44:00,3
2016-09-09T01:13:00,
2016-11-21T12:55:00,7
2016-11-17T17:25:00,
2016-08-12T18:50:00,1
2016-11-17T12:00:00,9
2016-09-16T18:59:00,1
2017-01-05T10:45:00,1
2017-01-05T11:23:00,2
2016-04-04T00:45:00,3
2017-01-20T13:38:00,6
2016-12-01T15:40:00,9
2016-11-21T09:00:00,6
2016-11-02T12:48:00,2
2016-08-15T13:40:00,1
2016-11-28T12:03:00,5
2017-01-13T07:30:00,1
2016-11-17T15:55:00,6
2016-11-01T11:11:00,2
2016-11-26T16:45:00,1
2016-11-26T13:18:00,9
2016-12-05T20:56:00,
2016-11-05T17:20:00,9
2016-12-13T08:30:00,9
2016-09-23T07:15:00,2
2016-10-04T16:43:00,1
2016-10-04T17:26:00,1
2016-11-13T09:00:00,3
2016-12-18T02:10:00,
2017-01-05T11:46:00,3
2016-08-02T12:17:00,9
2016-09-23T22:32:00,9
2016-10-06T17:15:00,6
2016-10-06T10:10:00,1
2016-12-22T19:52:00,2
2017-01-01T20:43:00,3
2016-10-04T17:29:00,4
2016-08-31T21:56:00,9
2017-01-24T11:47:00,2
2016-11-29T15:41:00,2
2016-04-10T09:00:00,6
2016-08-27T18:15:00,3
2016-11-24T22:55:00,7
2016-10-06T19:50:00,6
2016-10-25T18:20:00,1
2016-12-01T10:30:00,1
2017-01-20T00:52:00,3
2016-10-22T04:16:00,1
2016-10-13T12:30:00,9
2016-10-16T16:59:00,1
2016-10-23T19:52:00,1
2016-11-28T16:10:00,6
2016-12-06T09:00:00,5
2016-11-22T13:10:00,2
2016-04-12T01:30:00,6
2016-08-16T10:00:00,2
2016-10-06T18:00:00,6
2016-10-03T16:50:00,6
2016-11-08T14:00:00,4
2016-11-23T12:55:00,6
2016-11-23T10:30:00,3
2016-11-29T09:58:00,3
2016-08-26T19:30:00,
2016-09-09T09:50:00,6
2016-09-16T17:02:00,9
2016-09-16T17:18:00,2
2016-11-01T21:14:00,1
2016-11-05T16:55:00,3
2016-11-03T15:04:00,5
2016-12-28T11:30:00,4
2017-01-31T12:15:00,1
2017-01-01T20:43:00,3
2016-10-29T18:07:00,9
2016-11-14T13:30:00,1
2016-10-25T18:20:00,6
2016-04-12T19:55:00,6
2016-04-13T20:00:00,6
2016-10-18T10:15:00,1
2016-11-04T23:15:00,3
2016-09-06T01:00:00,2
2016-08-31T11:59:00,2
2016-11-04T21:30:00,7
2017-01-31T13:20:00,9
2016-08-22T16:40:00,8
2016-12-01T09:40:00,4
2016-09-22T20:10:00,3
2016-11-12T17:10:00,9
2016-12-01T16:34:00,1
2016-10-05T10:30:00,
2016-09-27T12:28:00,6
2017-01-02T20:06:00,5
2016-11-12T12:40:00,4
2016-11-08T20:35:00,7
2016-08-24T12:20:00,8
2016-08-03T16:45:00,9
2016-09-24T17:15:00,5
2016-08-05T02:36:00,1
2016-08-16T13:00:00,4
2016-08-21T00:20:00,6
2016-12-02T03:00:00,6
2016-08-16T04:25:00,
2016-04-13T20:00:00,6
2016-12-21T10:40:00,9
2016-10-30T03:06:00,3
2016-10-06T20:32:00,4
2016-10-24T10:50:00,6
2016-11-02T07:05:00,1
